com.samsung.health.exercise
time_offset,max_rpm,live_data,mean_rpm,distance,max_caloricburn_rate,additional,altitude_gain,deviceuuid,duration,update_time,datauuid,location_data,decline_distance,altitude_loss,mean_caloricburn_rate,incline_distance,max_altitude,max_cadence,create_time,mean_speed,mean_heart_rate,count_type,custom,end_time,count,min_altitude,max_speed,exercise_type,pkg_name,start_time,max_power,mean_power,min_heart_rate,calorie,comment,max_heart_rate,exercise_custom_type,mean_cadence
-14400000,,live_data.84.blob,,1040.71,,,,HhGX3b5ODm,925050,2017-08-23 18:51:12.447,ebc2233a-9038-4669-b86f-c7c455f8be7f,,,,,,,,2017-08-23 18:51:12.447,1.1250311,,,,2017-08-23 18:37:27.000,,,1.9722222,1001,com.sec.android.app.shealth,2017-08-23 18:22:02.000,,,,66.369995,,,,
-14400000,,live_data.85.blob,,1431.73,,,,HhGX3b5ODm,1034216,2017-08-25 18:16:33.891,5ca53aaa-6b79-4db9-b8d5-c918c25a4100,,,,,,,,2017-08-25 18:16:33.891,1.3843627,,,,2017-08-25 18:12:23.000,,,1.4722222,1001,com.sec.android.app.shealth,2017-08-25 17:55:09.000,,,,90.61,,,,
-14400000,,live_data.86.blob,,,,,,dOU0jyvERH,1029464,2017-08-01 15:26:12.266,49a4808c-356c-9d8d-b6ef-80fbf8fce6ff,location_data.87.blob,,,,,,0.0,2017-08-01 15:26:12.266,,0.0,,,2017-08-01 15:25:10.118,,,,0,com.sec.android.app.shealth,2017-08-01 15:08:00.654,,,0.0,99.62,,0.0,,0.0
-14400000,,live_data.88.blob,,,,,,dOU0jyvERH,600000,2017-08-01 16:37:01.003,b219d5de-9653-8a22-1b86-9c74b3a46ce0,location_data.89.blob,,,,,,0.0,2017-08-01 16:37:01.003,,0.0,,,2017-08-01 16:36:37.274,,,,0,com.sec.android.app.shealth,2017-08-01 16:26:37.274,,,0.0,52.96,,0.0,,0.0
-14400000,,live_data.90.blob,,1414.9,,,,dOU0jyvERH,1024457,2017-08-03 18:31:19.142,2cc79767-6622-5b2f-0804-b6dcedeccf65,location_data.91.blob,,,,,,0.0,2017-08-03 18:31:19.142,1.4136896,0.0,,,2017-08-03 18:30:17.698,,,1.5833334,1001,com.sec.android.app.shealth,2017-08-03 18:13:13.241,,,0.0,92.53,,0.0,,0.0
-14400000,,live_data.92.blob,,1826.1,,,,dOU0jyvERH,1580259,2017-08-08 10:01:55.999,41a17b0b-97a4-e061-3400-1e889934e672,location_data.93.blob,,,,,,0.0,2017-08-08 10:01:55.999,1.2393756,0.0,,,2017-08-08 10:00:53.880,,,1.4722222,1001,com.sec.android.app.shealth,2017-08-08 09:34:33.621,,,0.0,134.16,,0.0,,0.0
-14400000,,live_data.94.blob,,,,,,dOU0jyvERH,1224347,2017-08-09 10:27:53.917,81a0f6bd-9c1a-df39-175a-f51723f698c3,location_data.95.blob,,,,,,0.0,2017-08-09 10:27:53.917,,0.0,,,2017-08-09 10:26:12.068,,,,15006,com.sec.android.app.shealth,2017-08-09 10:05:47.721,,,0.0,170.32,,0.0,,0.0
-14400000,,live_data.96.blob,,,,,,dOU0jyvERH,847606,2017-08-16 10:55:24.433,ca27a524-3239-3903-5303-3a63fa9260f6,location_data.97.blob,,,,,,0.0,2017-08-16 10:55:24.433,,0.0,,,2017-08-16 10:54:23.034,,,,0,com.sec.android.app.shealth,2017-08-16 10:40:15.428,,,0.0,76.29,,0.0,,0.0
-14400000,,live_data.98.blob,,1853.921,,,,dOU0jyvERH,1660440,2017-08-18 17:48:23.924,88e031b4-d2a8-d25b-74b9-709c06dc1746,location_data.99.blob,,,,,,0.0,2017-08-18 17:48:23.924,1.2035862,0.0,,,2017-08-18 17:47:21.522,,,1.4045601,1001,com.sec.android.app.shealth,2017-08-18 17:19:41.082,,,0.0,130.68,,0.0,,0.0
-14400000,,live_data.100.blob,,1866.56,,,,dOU0jyvERH,1707805,2017-08-22 10:07:58.789,c5a87b45-d481-c2b1-c4d1-ba7fa970c43d,location_data.101.blob,,,,,,0.0,2017-08-22 10:07:58.789,1.1965629,0.0,,,2017-08-22 10:06:56.434,,,1.3611112,1001,com.sec.android.app.shealth,2017-08-22 09:38:28.629,,,0.0,140.79,,0.0,,0.0
